127.0.0.1, 2022-07-01 19:30:10, GET, /sistema_distribuidos/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.003003
127.0.0.1, 2022-07-01 19:30:10, GET, /sistema_distribuidos/static/images/background.jpg, HTTP/1.1, 404, 0.001001
127.0.0.1, 2022-07-01 19:30:10, GET, /sistema_distribuidos/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2022-07-01 19:30:10, GET, /sistema_distribuidos/static/images/favicon.ico, HTTP/1.1, 200, 0.001001
127.0.0.1, 2022-07-01 19:30:13, GET, /admin/default/site, HTTP/1.1, 200, 0.014012
127.0.0.1, 2022-07-01 19:30:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-07-01 19:30:15, GET, /admin/default/design/sistema_distribuidos, HTTP/1.1, 200, 0.036033
127.0.0.1, 2022-07-01 19:30:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-07-01 19:34:37, GET, /admin/default/peek/sistema_distribuidos/models/db.py, HTTP/1.1, 200, 0.010009
127.0.0.1, 2022-07-01 19:34:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-07-01 19:34:43, GET, /admin/default/design/sistema_distribuidos, HTTP/1.1, 200, 0.479436
127.0.0.1, 2022-07-01 19:34:43, GET, /favicon.ico, HTTP/1.1, 400, 0.001001
127.0.0.1, 2022-07-01 20:04:19, GET, /, HTTP/1.1, 303, 0.826752
127.0.0.1, 2022-07-01 20:04:20, GET, /welcome/default/index, HTTP/1.1, 200, 0.070064
127.0.0.1, 2022-07-01 20:04:20, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2022-07-01 20:04:24, GET, /admin/default/site, HTTP/1.1, 200, 0.100091
127.0.0.1, 2022-07-01 20:04:24, GET, /admin/images/folder_locked.png, HTTP/1.1, 404, 0.004003
127.0.0.1, 2022-07-01 20:04:24, GET, /admin/images/folder.png, HTTP/1.1, 404, 0.006004
127.0.0.1, 2022-07-01 20:04:24, GET, /admin/images/glyphicons-halflings-white.png, HTTP/1.1, 404, 0.003003
127.0.0.1, 2022-07-01 20:04:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-07-01 20:04:26, GET, /sistema_distribuidos/default/index, HTTP/1.1, 500, 0.128116
127.0.0.1, 2022-07-01 20:04:26, GET, /favicon.ico, HTTP/1.1, 400, 0.001001
